customer_id,tenure_days,last_nps,tickets_30d,usage_delta,sentiment_score,plan,region,billing_change_30d,churned_next_60d
1,1136,-92,0,-0.35459063250298134,-0.411726925924514,Pro,QC,0,0
2,1469,81,0,-0.5455526027368869,-0.4729912120781392,Basic,PE,0,0
3,870,54,0,0.4471634130857203,0.011773263736064674,Plus,MB,1,0
4,1304,-67,0,1.1825169176703132,0.38158467545193675,Plus,PE,0,0
5,1140,28,0,0.05806383002443512,-0.33696339561130484,Plus,QC,0,0
6,1105,59,1,1.2477122918598191,0.33443282555386067,Basic,MB,0,0
7,1734,-12,1,0.6900583398086663,0.1209173056668732,Pro,PE,0,0
8,1054,-8,0,-0.20121547789209077,0.19386152041558624,Plus,AB,0,0
9,1648,-30,1,0.5633355030589059,-1.0,Basic,NB,0,0
10,131,-34,1,-0.43482679126773655,0.10954897783040227,Plus,SK,0,0
11,476,47,0,0.2386000732661008,-0.05041439371793563,Plus,NB,0,0
12,1248,16,1,-1.0731591448312356,0.334209249337571,Pro,MB,0,1
13,340,-7,0,-0.06815663043443759,-0.29228201587623426,Basic,NS,0,0
14,1492,62,1,0.9996891539453561,-0.12256730111277211,Pro,PE,0,0
15,97,-2,3,0.7671469014357418,0.419862166020849,Basic,NS,0,0
16,1406,12,0,0.6208417480333385,0.9674308672853961,Plus,SK,0,0
17,1133,2,1,0.2874796750148208,-0.6947438447221294,Plus,PE,0,0
18,881,-10,0,0.1598460497127946,0.40788832233969385,Basic,QC,0,0
19,1697,-11,0,-1.267057102065067,0.8319597853218903,Plus,SK,0,0
20,140,-84,0,-0.20608537303860355,0.5168229822802275,Pro,NL,0,0
21,1695,-83,0,0.18261578366539605,0.7915222061981955,Plus,QC,0,0
22,1342,72,2,-1.1244034957402724,-0.22611305176704963,Plus,SK,0,0
23,779,15,0,-1.7517559167898828,0.8420631337013239,Basic,SK,0,0
24,353,-8,0,1.128832746943447,-0.33467730094542425,Basic,AB,0,0
25,1525,80,1,0.05083852660983912,0.13307692321843356,Basic,QC,0,0
